"","Description","spID","MW","retinaKO","retinaWT","testisKO","testisWT"
"1209","Lethal(2) giant larvae protein homolog 2 OS=Mus musculus GN=Llgl2 PE=1 SV=2","Q3TJ91",114,6,10,0,0
"1210","Leucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Lars PE=1 SV=2","Q8BMJ2",134,7,12,19,16
"1211","Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2","Q6PB66",157,0,0,0,4
"1212","Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Mus musculus GN=Lrch3 PE=1 SV=3","Q8BVU0",86,4,4,17,20
"1213","Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Mus musculus GN=Lrch4 PE=1 SV=1","Q921G6",73,0,0,8,10
"1214","Leucine-rich repeat and WD repeat-containing protein 1 OS=Mus musculus GN=LRWD1 PE=2 SV=1","Q8BUI3",72,0,0,8,9
"1215","Leucine-rich repeat-containing protein 36 OS=Mus musculus GN=Lrrc36 PE=1 SV=2","Q3V0M2",84,0,0,3,3
"1216","Leucine-rich repeat-containing protein 40 OS=Mus musculus GN=Lrrc40 PE=1 SV=2","Q9CRC8",68,0,0,3,0
"1217","Leucine-rich repeat-containing protein 46 OS=Mus musculus GN=Lrrc46 PE=1 SV=2","Q9DAP0",36,0,0,2,0
"1218","Leucine-rich repeat-containing protein 49 OS=Mus musculus GN=Lrrc49 PE=1 SV=1","Q91YK0",79,2,3,0,0
"1219","Leucine-rich repeat-containing protein 9 OS=Mus musculus GN=Lrrc9 PE=1 SV=2","Q8CDN9",167,0,0,0,6
"1220","Leukocyte receptor cluster member 8 homolog OS=Mus musculus GN=Leng8 PE=1 SV=1","Q8CBY3",87,7,5,0,5
"1221","LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3","Q99JW4",37,11,9,15,12
"1222","LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1","Q61792",30,7,8,7,4
"1223","LIM domain and actin-binding protein 1 OS=Mus musculus GN=Lima1 PE=1 SV=3","Q9ERG0",84,5,8,0,5
"1224","LIM domain-binding protein 1 OS=Mus musculus GN=Ldb1 PE=1 SV=2","P70662",47,17,10,0,3
"1225","LIM domain-binding protein 2 OS=Mus musculus GN=Ldb2 PE=1 SV=2","O55203",43,6,5,0,0
"1226","LIM zinc-binding domain-containing Nebulette OS=Mus musculus GN=Nebl PE=1 SV=1","Q9DC07",31,6,5,0,0
"1227","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dbt PE=1 SV=2","P53395",53,0,0,23,22
"1228","Lipoma-preferred partner homolog OS=Mus musculus GN=Lpp PE=1 SV=1","Q8BFW7",66,7,3,37,33
"1229","Lipopolysaccharide-responsive and beige-like anchor protein OS=Mus musculus GN=Lrba PE=1 SV=1","Q9ESE1",317,0,2,0,0
"1230","Liprin-alpha-2 OS=Mus musculus GN=Ppfia2 PE=1 SV=2","Q8BSS9",143,16,17,0,0
"1231","Lon protease homolog 2, peroxisomal OS=Mus musculus GN=Lonp2 PE=1 SV=1","Q9DBN5",95,0,0,2,4
"1232","Long-chain fatty acid transport protein 1 OS=Mus musculus GN=Slc27a1 PE=1 SV=1","Q60714",71,10,17,17,13
"1233","Long-chain fatty acid transport protein 3 OS=Mus musculus GN=Slc27a3 PE=1 SV=2","O88561",73,0,0,7,8
"1234","Long-chain fatty acid transport protein 4 OS=Mus musculus GN=Slc27a4 PE=1 SV=1","Q91VE0",72,4,5,3,0
"1235","Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2","P51174",48,0,0,15,14
"1236","Long-chain-fatty-acid--CoA ligase 3 OS=Mus musculus GN=Acsl3 PE=1 SV=2","Q9CZW4",80,12,17,23,23
"1237","Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=1 SV=2","Q9QUJ7",79,0,0,4,0
"1238","Long-chain-fatty-acid--CoA ligase 6 OS=Mus musculus GN=Acsl6 PE=1 SV=1","Q91WC3",78,0,0,5,9
"1239","Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Mus musculus GN=Acsbg1 PE=1 SV=1","Q99PU5",80,0,0,18,20
"1240","Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Mus musculus GN=Acsbg2 PE=1 SV=1","Q2XU92",74,0,0,3,3
"1241","Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus GN=Acp1 PE=1 SV=3","Q9D358",18,0,0,4,4
"1242","Lupus La protein homolog OS=Mus musculus GN=Ssb PE=1 SV=1","P32067",48,22,25,18,16
"1243","Lys-63-specific deubiquitinase BRCC36 OS=Mus musculus GN=Brcc3 PE=1 SV=1","P46737",33,0,0,2,2
"1244","Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1","Q99MN1",68,0,0,9,6
"1245","Lysine-specific demethylase 3A OS=Mus musculus GN=Kdm3a PE=1 SV=1","Q6PCM1",148,0,0,6,12
"1246","Lysine-specific demethylase 3B OS=Mus musculus GN=Kdm3b PE=1 SV=2","Q6ZPY7",171,0,10,0,0
"1247","Lysine-specific demethylase 5A OS=Mus musculus GN=Kdm5a PE=1 SV=2","Q3UXZ9",192,2,3,0,0
"1248","Lysine-specific demethylase 5B OS=Mus musculus GN=Kdm5b PE=1 SV=1","Q80Y84",176,0,0,4,3
"1249","Lysine-specific demethylase 9 OS=Mus musculus GN=Rsbn1 PE=1 SV=3","Q80T69",89,8,10,5,3
"1250","Lysine-specific histone demethylase 1A OS=Mus musculus GN=Kdm1a PE=1 SV=2","Q6ZQ88",93,13,19,0,3
"1251","Lysozyme C-1 OS=Mus musculus GN=Lyz1 PE=1 SV=1","P17897",17,0,0,3,0
"1252","M-phase phosphoprotein 8 OS=Mus musculus GN=Mphosph8 PE=1 SV=1","Q3TYA6",97,0,0,0,3
"1253","Macrophage erythroblast attacher OS=Mus musculus GN=Maea PE=1 SV=1","Q4VC33",45,8,6,2,3
"1254","Maestro heat-like repeat-containing protein family member 7 OS=Mus musculus GN=Mroh7 PE=3 SV=1","A2AVR2",142,0,0,0,2
"1255","MAGUK p55 subfamily member 2 OS=Mus musculus GN=Mpp2 PE=1 SV=1","Q9WV34",62,2,3,0,0
"1256","MAGUK p55 subfamily member 4 OS=Mus musculus GN=Mpp4 PE=1 SV=1","Q6P7F1",72,23,22,0,0
"1257","Major prion protein OS=Mus musculus GN=Prnp PE=1 SV=2","P04925",28,8,10,0,0
"1258","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1","Q9WVL0",24,0,0,4,4
"1259","Mannose-1-phosphate guanyltransferase alpha OS=Mus musculus GN=Gmppa PE=1 SV=1","Q922H4",46,0,0,2,3
"1260","Mannose-6-phosphate isomerase OS=Mus musculus GN=Mpi PE=1 SV=1","Q924M7",47,0,0,4,7
"1261","Mannosyl-oligosaccharide glucosidase OS=Mus musculus GN=Mogs PE=1 SV=1","Q80UM7",92,0,0,3,4
"1262","MAP kinase-activating death domain protein OS=Mus musculus GN=Madd PE=1 SV=2","Q80U28",175,3,6,0,0
"1263","MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus GN=Mark3 PE=1 SV=2","Q03141",84,11,13,0,3
"1264","MAP/microtubule affinity-regulating kinase 4 OS=Mus musculus GN=Mark4 PE=1 SV=1","Q8CIP4",83,2,6,0,0
"1265","MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1","A2AJI0",93,3,4,0,0
"1266","Mapk-regulated corepressor-interacting protein 1 OS=Mus musculus GN=Mcrip1 PE=1 SV=1","Q3UGS4",11,2,0,3,3
"1267","Matrin-3 OS=Mus musculus GN=Matr3 PE=1 SV=1","Q8K310",95,146,156,91,89
"1268","MAU2 chromatid cohesion factor homolog OS=Mus musculus GN=Mau2 PE=1 SV=3","Q9D2X5",70,0,0,9,6
"1269","MBT domain-containing protein 1 OS=Mus musculus GN=Mbtd1 PE=1 SV=1","Q6P5G3",71,0,2,0,0
"1270","Mediator of RNA polymerase II transcription subunit 10 OS=Mus musculus GN=Med10 PE=1 SV=1","Q9CXU0",16,0,2,0,0
"1271","Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus GN=Med12 PE=1 SV=1","A2AGH6",245,10,13,0,0
"1272","Mediator of RNA polymerase II transcription subunit 13 OS=Mus musculus GN=Med13 PE=1 SV=1","Q5SWW4",239,3,5,0,0
"1273","Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus GN=Med14 PE=1 SV=1","A2ABV5",161,0,3,2,3
"1274","Mediator of RNA polymerase II transcription subunit 15 OS=Mus musculus GN=Med15 PE=1 SV=2","Q924H2",87,5,2,0,4
"1275","Mediator of RNA polymerase II transcription subunit 23 OS=Mus musculus GN=Med23 PE=1 SV=2","Q80YQ2",156,0,0,2,0
"1276","Mediator of RNA polymerase II transcription subunit 4 OS=Mus musculus GN=Med4 PE=2 SV=1","Q9CQA5",30,2,0,0,0
"1277","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1","P45952",46,0,0,3,5
"1278","Meiosis-specific coiled-coil domain-containing protein MEIOC OS=Mus musculus GN=Meioc PE=1 SV=1","A2AG06",109,0,0,0,5
"1279","Meiosis-specific with OB domain-containing protein OS=Mus musculus GN=Meiob PE=1 SV=3","Q9D513",53,0,0,23,21
"1280","Melanoma-associated antigen D1 OS=Mus musculus GN=Maged1 PE=1 SV=1","Q9QYH6",86,15,13,0,2
"1281","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2","Q9WVQ1",141,8,12,0,0
"1282","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 OS=Mus musculus GN=Magi3 PE=1 SV=2","Q9EQJ9",162,6,11,0,0
"1283","Membrane-associated phosphatidylinositol transfer protein 1 OS=Mus musculus GN=Pitpnm1 PE=1 SV=1","O35954",135,9,16,0,0
"1284","Membrane-associated phosphatidylinositol transfer protein 2 OS=Mus musculus GN=Pitpnm2 PE=1 SV=2","Q6ZPQ6",148,10,11,13,12
"1285","Membrane-associated phosphatidylinositol transfer protein 3 OS=Mus musculus GN=Pitpnm3 PE=1 SV=2","Q3UHE1",106,2,3,0,0
"1286","Mesoderm-specific transcript protein OS=Mus musculus GN=Mest PE=2 SV=1","Q07646",39,3,4,0,0
"1287","Metal transporter CNNM4 OS=Mus musculus GN=Cnnm4 PE=1 SV=2","Q69ZF7",87,5,7,12,11
"1288","Metastasis-associated protein MTA1 OS=Mus musculus GN=Mta1 PE=1 SV=1","Q8K4B0",81,23,29,9,7
"1289","Metastasis-associated protein MTA2 OS=Mus musculus GN=Mta2 PE=1 SV=1","Q9R190",75,24,32,19,20
"1290","Metaxin-1 OS=Mus musculus GN=Mtx1 PE=1 SV=1","P47802",36,0,0,3,3
"1291","Methionine synthase OS=Mus musculus GN=Mtr PE=1 SV=1","A6H5Y3",139,0,0,2,4
"1292","Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1","Q68FL6",101,8,13,28,35
"1293","Methyl-CpG-binding domain protein 3 OS=Mus musculus GN=Mbd3 PE=1 SV=1","Q9Z2D8",32,3,0,0,0
"1294","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Mccc2 PE=1 SV=1","Q3ULD5",61,0,0,0,3
"1295","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus GN=Mccc1 PE=1 SV=2","Q99MR8",79,0,0,2,5
"1296","Methylcytosine dioxygenase TET2 OS=Mus musculus GN=Tet2 PE=1 SV=3","Q4JK59",212,3,3,0,0
"1297","Methylcytosine dioxygenase TET3 OS=Mus musculus GN=Tet3 PE=1 SV=3","Q8BG87",180,9,10,0,0
"1298","Methylosome protein 50 OS=Mus musculus GN=Wdr77 PE=1 SV=1","Q99J09",37,0,2,5,0
"1299","MICOS complex subunit MIC13 OS=Mus musculus GN=Mic13 PE=1 SV=1","Q8R404",13,0,0,6,8
"1300","MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1","Q8CAQ8",84,4,4,0,3
"1301","Microfibril-associated glycoprotein 4 OS=Mus musculus GN=Mfap4 PE=1 SV=1","Q9D1H9",29,0,0,6,6
"1302","Microprocessor complex subunit DGCR8 OS=Mus musculus GN=Dgcr8 PE=1 SV=2","Q9EQM6",86,3,3,0,0
"1303","Microsomal glutathione S-transferase 1 OS=Mus musculus GN=Mgst1 PE=1 SV=3","Q91VS7",18,0,0,2,2
"1304","Microtubule cross-linking factor 1 OS=Mus musculus GN=Mtcl1 PE=1 SV=1","Q3UHU5",214,0,3,0,0
"1305","Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2","Q9QXZ0",832,13,17,0,3
"1306","Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2","P14873",270,20,31,0,0
"1307","Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3","P27546",117,2,4,0,0
"1308","Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2","Q7TSJ2",96,10,38,0,0
"1309","Microtubule-associated serine/threonine-protein kinase 1 OS=Mus musculus GN=Mast1 PE=1 SV=3","Q9R1L5",171,0,7,0,0
"1310","Misshapen-like kinase 1 OS=Mus musculus GN=Mink1 PE=1 SV=3","Q9JM52",147,14,13,0,0
"1311","Mitochondria-eating protein OS=Mus musculus GN=Spata18 PE=1 SV=2","Q0P557",60,0,0,18,18
"1312","Mitochondrial 2-oxodicarboxylate carrier OS=Mus musculus GN=Slc25a21 PE=1 SV=1","Q8BZ09",33,0,0,6,8
"1313","Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3","Q9CR62",34,16,22,8,8
"1314","Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1","Q922Q1",38,0,0,3,0
"1315","Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1","Q9Z2Z6",33,3,3,2,0
"1316","Mitochondrial carrier homolog 1 OS=Mus musculus GN=Mtch1 PE=1 SV=1","Q791T5",42,2,6,0,0
"1317","Mitochondrial carrier homolog 2 OS=Mus musculus GN=Mtch2 PE=1 SV=1","Q791V5",33,0,3,0,0
"1318","Mitochondrial dicarboxylate carrier OS=Mus musculus GN=Slc25a10 PE=1 SV=2","Q9QZD8",32,0,2,7,8
"1319","Mitochondrial glutamate carrier 1 OS=Mus musculus GN=Slc25a22 PE=1 SV=1","Q9D6M3",35,7,8,0,0
"1320","Mitochondrial glutamate carrier 2 OS=Mus musculus GN=Slc25a18 PE=1 SV=4","Q9DB41",34,0,0,3,3
"1321","Mitochondrial import inner membrane translocase subunit Tim23 OS=Mus musculus GN=Timm23 PE=1 SV=1","Q9WTQ8",22,0,0,3,5
"1322","Mitochondrial import inner membrane translocase subunit TIM50 OS=Mus musculus GN=Timm50 PE=1 SV=1","Q9D880",40,4,5,11,10
"1323","Mitochondrial pyruvate carrier 2 OS=Mus musculus GN=Mpc2 PE=1 SV=1","Q9D023",14,2,3,11,13
"1324","Mitochondrial Rho GTPase 1 OS=Mus musculus GN=Rhot1 PE=1 SV=1","Q8BG51",72,6,11,0,0
"1325","Mitochondrial Rho GTPase 2 OS=Mus musculus GN=Rhot2 PE=1 SV=1","Q8JZN7",69,7,8,0,0
"1326","Mitofusin-1 OS=Mus musculus GN=Mfn1 PE=1 SV=3","Q811U4",84,0,0,3,3
"1327","Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3","P63085",41,3,0,0,0
"1328","Mitogen-activated protein kinase kinase kinase 7 OS=Mus musculus GN=Map3k7 PE=1 SV=1","Q62073",64,0,2,0,0
"1329","Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus GN=Map4k4 PE=1 SV=1","P97820",141,0,12,5,0
"1330","Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=1 SV=2","Q9WVA3",37,4,4,12,11
"1331","MMS19 nucleotide excision repair protein homolog OS=Mus musculus GN=Mms19 PE=1 SV=1","Q9D071",113,0,0,0,2
"1332","Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2","Q99LR1",45,0,0,0,2
"1333","Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=1 SV=1","Q8R2Y0",38,0,0,2,2
"1334","Monocarboxylate transporter 1 OS=Mus musculus GN=Slc16a1 PE=1 SV=1","P53986",53,3,4,2,2
"1335","Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2","Q3V3R1",106,0,0,2,3
"1336","MORC family CW-type zinc finger protein 3 OS=Mus musculus GN=Morc3 PE=1 SV=1","F7BJB9",107,0,0,5,3
"1337","Mothers against decapentaplegic homolog 2 OS=Mus musculus GN=Smad2 PE=1 SV=2","Q62432",52,0,0,6,4
"1338","mRNA cap guanine-N7 methyltransferase OS=Mus musculus GN=Rnmt PE=1 SV=1","Q9D0L8",53,35,36,21,15
"1339","mRNA export factor OS=Mus musculus GN=Rae1 PE=1 SV=1","Q8C570",41,30,28,37,33
"1340","mRNA turnover protein 4 homolog OS=Mus musculus GN=Mrto4 PE=1 SV=1","Q9D0I8",28,0,0,5,3
"1341","mRNA-capping enzyme OS=Mus musculus GN=Rngtt PE=1 SV=1","O55236",69,0,0,4,3
"1342","mRNA-decapping enzyme 1A OS=Mus musculus GN=Dcp1a PE=1 SV=1","Q91YD3",65,0,0,5,2
"1343","mRNA-decapping enzyme 1B OS=Mus musculus GN=Dcp1b PE=1 SV=1","Q3U564",63,0,0,4,0
"1344","Msx2-interacting protein OS=Mus musculus GN=Spen PE=1 SV=2","Q62504",399,7,7,0,0
"1345","Mucosa-associated lymphoid tissue lymphoma translocation protein 1 homolog OS=Mus musculus GN=Malt1 PE=1 SV=2","Q2TBA3",93,0,0,0,2
"1346","Multivesicular body subunit 12A OS=Mus musculus GN=Mvb12a PE=1 SV=1","Q78HU3",29,0,0,0,2
"1347","Muscleblind-like protein 2 OS=Mus musculus GN=Mbnl2 PE=2 SV=2","Q8C181",40,2,3,3,0
"1348","Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2","Q7TPV4",152,0,5,0,0
"1349","Myc-associated zinc finger protein OS=Mus musculus GN=Maz PE=1 SV=1","P56671",49,11,13,0,0
"1350","MYCBP-associated protein OS=Mus musculus GN=Mycbpap PE=1 SV=1","Q5SUV2",106,0,0,2,5
"1351","Myelin expression factor 2 OS=Mus musculus GN=Myef2 PE=1 SV=1","Q8C854",63,17,22,56,55
"1352","Myeloid leukemia factor 2 OS=Mus musculus GN=Mlf2 PE=1 SV=1","Q99KX1",28,6,6,0,0
"1353","Myomegalin OS=Mus musculus GN=Pde4dip PE=1 SV=2","Q80YT7",251,3,7,0,0
"1354","Myosin light chain 1/3, skeletal muscle isoform OS=Mus musculus GN=Myl1 PE=1 SV=2","P05977",21,3,0,0,0
"1355","Myosin light chain kinase, smooth muscle OS=Mus musculus GN=Mylk PE=1 SV=3","Q6PDN3",213,0,2,0,0
"1356","Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3","Q60605",17,3,4,0,0
"1357","Myosin phosphatase Rho-interacting protein OS=Mus musculus GN=Mprip PE=1 SV=2","P97434",116,0,2,3,6
"1358","Myosin regulatory light chain 12B OS=Mus musculus GN=Myl12b PE=1 SV=2","Q3THE2",20,0,2,0,0
"1359","Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1","Q5SX40",223,46,0,0,0
"1360","Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2","Q61879",229,23,37,0,0
"1361","Myosin-14 OS=Mus musculus GN=Myh14 PE=1 SV=1","Q6URW6",229,15,13,0,0
"1362","Myosin-4 OS=Mus musculus GN=Myh4 PE=2 SV=1","Q5SX39",223,45,0,0,0
"1363","Myosin-7 OS=Mus musculus GN=Myh7 PE=2 SV=1","Q91Z83",223,23,0,0,0
"1364","Myosin-8 OS=Mus musculus GN=Myh8 PE=2 SV=2","P13542",223,38,0,0,0
"1365","Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4","Q8VDD5",226,17,26,0,0
"1366","Myotubularin-related protein 1 OS=Mus musculus GN=Mtmr1 PE=1 SV=1","Q9Z2C4",75,9,9,10,6
"1367","Myotubularin-related protein 2 OS=Mus musculus GN=Mtmr2 PE=1 SV=3","Q9Z2D1",73,0,0,17,15
"1368","Myotubularin-related protein 3 OS=Mus musculus GN=Mtmr3 PE=1 SV=2","Q8K296",134,18,20,12,12
"1369","Myotubularin-related protein 5 OS=Mus musculus GN=Sbf1 PE=1 SV=2","Q6ZPE2",209,52,58,47,47
"1370","Myotubularin-related protein 6 OS=Mus musculus GN=Mtmr6 PE=1 SV=1","Q8VE11",71,0,0,4,3
"1371","Myotubularin-related protein 9 OS=Mus musculus GN=Mtmr9 PE=1 SV=2","Q9Z2D0",63,0,0,3,2
"1372","N-acetylgalactosamine kinase OS=Mus musculus GN=Galk2 PE=1 SV=1","Q68FH4",51,0,0,5,4
"1373","N-alpha-acetyltransferase 35, NatC auxiliary subunit OS=Mus musculus GN=Naa35 PE=1 SV=1","Q6PHQ8",83,0,0,5,6
"1374","N-terminal kinase-like protein OS=Mus musculus GN=Scyl1 PE=1 SV=1","Q9EQC5",89,15,15,33,35
"1375","NACHT and WD repeat domain-containing protein 2 OS=Mus musculus GN=Nwd2 PE=1 SV=2","Q6P5U7",197,3,3,0,0
"1376","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus GN=Ndufs3 PE=1 SV=2","Q9DCT2",30,2,0,0,2
"1377","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2","Q91VD9",80,0,0,2,3
"1378","Nardilysin OS=Mus musculus GN=Nrdc PE=1 SV=1","Q8BHG1",133,0,0,0,3
"1379","Nck-associated protein 1 OS=Mus musculus GN=Nckap1 PE=1 SV=2","P28660",129,9,12,4,6
"1380","NEDD4-binding protein 2-like 2 OS=Mus musculus GN=N4bp2l2 PE=2 SV=2","Q8JZS6",66,0,0,5,3
"1381","NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Mus musculus GN=Wwp2 PE=1 SV=1","Q9DBH0",99,5,3,6,6
"1382","Nephrocystin-1 OS=Mus musculus GN=Nphp1 PE=1 SV=1","Q9QY53",77,0,0,3,2
"1383","Nephrocystin-4 OS=Mus musculus GN=Nphp4 PE=1 SV=2","P59240",157,6,4,0,0
"1384","Nephronectin OS=Mus musculus GN=Npnt PE=1 SV=1","Q91V88",61,4,0,0,0
"1385","Nesprin-2 OS=Mus musculus GN=Syne2 PE=1 SV=2","Q6ZWQ0",783,4,0,0,0
"1386","Neurobeachin OS=Mus musculus GN=Nbea PE=1 SV=1","Q9EPN1",327,4,3,0,0
"1387","Neurofilament heavy polypeptide OS=Mus musculus GN=Nefh PE=1 SV=3","P19246",117,5,0,0,0
"1388","Neurofilament light polypeptide OS=Mus musculus GN=Nefl PE=1 SV=5","P08551",62,8,8,0,0
"1389","Neurofilament medium polypeptide OS=Mus musculus GN=Nefm PE=1 SV=4","P08553",96,10,9,0,0
"1390","Neuronal pentraxin-1 OS=Mus musculus GN=Nptx1 PE=1 SV=1","Q62443",47,0,2,0,0
"1391","Neuropathy target esterase OS=Mus musculus GN=Pnpla6 PE=1 SV=2","Q3TRM4",150,2,2,0,0
"1392","NF-kappa-B-repressing factor OS=Mus musculus GN=Nkrf PE=2 SV=3","Q8BY02",78,6,0,0,0
"1393","NFX1-type zinc finger-containing protein 1 OS=Mus musculus GN=Znfx1 PE=1 SV=3","Q8R151",219,22,25,35,36
"1394","NHP2-like protein 1 OS=Mus musculus GN=Snu13 PE=1 SV=4","Q9D0T1",14,5,2,2,2
"1395","Nicalin OS=Mus musculus GN=Ncln PE=1 SV=2","Q8VCM8",63,0,0,4,4
"1396","Nicotinamide phosphoribosyltransferase OS=Mus musculus GN=Nampt PE=1 SV=1","Q99KQ4",55,0,0,6,3
"1397","Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2","P10493",137,18,24,3,0
"1398","Nidogen-2 OS=Mus musculus GN=Nid2 PE=1 SV=2","O88322",154,13,12,0,0
"1399","Nipped-B-like protein OS=Mus musculus GN=Nipbl PE=1 SV=1","Q6KCD5",315,3,3,0,2
"1400","Nischarin OS=Mus musculus GN=Nisch PE=1 SV=2","Q80TM9",175,3,2,0,0
"1401","Nitric oxide-associated protein 1 OS=Mus musculus GN=Noa1 PE=1 SV=1","Q9JJG9",77,0,0,0,2
"1402","NLR family member X1 OS=Mus musculus GN=Nlrx1 PE=1 SV=1","Q3TL44",108,0,0,0,3
"1403","Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1","Q6GQT9",133,2,0,0,5
"1404","Noelin OS=Mus musculus GN=Olfm1 PE=1 SV=1","O88998",55,5,3,0,0
"1405","Non-POU domain-containing octamer-binding protein OS=Mus musculus GN=Nono PE=1 SV=3","Q99K48",55,140,160,77,67
"1406","Non-structural maintenance of chromosomes element 1 homolog OS=Mus musculus GN=Nsmce1 PE=1 SV=1","Q9D720",31,0,0,2,0
"1407","Normal mucosa of esophagus-specific gene 1 protein OS=Mus musculus GN=Nmes1 PE=1 SV=1","Q810Q5",10,0,0,5,8
"1408","NSFL1 cofactor p47 OS=Mus musculus GN=Nsfl1c PE=1 SV=1","Q9CZ44",41,0,0,13,11
"1409","NTF2-related export protein 1 OS=Mus musculus GN=Nxt1 PE=1 SV=2","Q9QZV9",16,4,5,6,6
"1410","NTF2-related export protein 2 OS=Mus musculus GN=Nxt2 PE=2 SV=1","Q3UNA4",16,5,3,0,0
"1411","Nuclear cap-binding protein subunit 1 OS=Mus musculus GN=Ncbp1 PE=1 SV=2","Q3UYV9",92,11,10,12,7
"1412","Nuclear distribution protein nudE-like 1 OS=Mus musculus GN=Ndel1 PE=1 SV=2","Q9ERR1",38,0,0,2,0
"1413","Nuclear envelope pore membrane protein POM 121 OS=Mus musculus GN=Pom121 PE=1 SV=2","Q8K3Z9",121,2,5,0,2
"1414","Nuclear factor 1 A-type OS=Mus musculus GN=Nfia PE=1 SV=1","Q02780",59,5,7,2,0
"1415","Nuclear fragile X mental retardation-interacting protein 2 OS=Mus musculus GN=Nufip2 PE=1 SV=1","Q5F2E7",76,15,19,6,4
"1416","Nuclear mitotic apparatus protein 1 OS=Mus musculus GN=Numa1 PE=1 SV=1","E9Q7G0",236,0,2,0,0
"1417","Nuclear pore complex protein Nup107 OS=Mus musculus GN=Nup107 PE=1 SV=1","Q8BH74",107,5,6,7,8
"1418","Nuclear pore complex protein Nup133 OS=Mus musculus GN=Nup133 PE=1 SV=2","Q8R0G9",129,8,8,9,12
"1419","Nuclear pore complex protein Nup155 OS=Mus musculus GN=Nup155 PE=1 SV=1","Q99P88",155,15,21,14,21
"1420","Nuclear pore complex protein Nup160 OS=Mus musculus GN=Nup160 PE=1 SV=2","Q9Z0W3",158,0,5,4,6
"1421","Nuclear pore complex protein Nup214 OS=Mus musculus GN=Nup214 PE=1 SV=2","Q80U93",213,36,36,23,23
"1422","Nuclear pore complex protein Nup50 OS=Mus musculus GN=Nup50 PE=1 SV=3","Q9JIH2",49,0,0,4,4
